Table 1
,Product_Design,Product_Dev,Product_Testing,Marketing,Sales,Employees,Profit
1,375683,645732,53464,658763,6576189,208,43
2,465376,6457876,75689,657465,6576519,180,59
3,54678,425431,54678,64746,6700745,350,18
4,657632,234521,78697,873534,768970,245,24
5,843523,768948,4321132,78697,6779780,200,50
6,67532,676543,56534,76889,968570,120,39
7,647568,6472922,223234,457678,3452352,100,64
8,86523420,2345239,234896,789634,7378623,150,60
9,7823542,98234563,8364523,2353452,43252345,205,65
10,723542,32543435,34543,346456,675756,301,12
11,3124124,3414355,3153351,351315,468468864,114,47
12,2343545,658783,46872424,46957462,24686897,224,36
13,87325423,3498534,456463653,46336,4363446,300,35
14,9826735,39475608,4362463634,346466,464646,446,20
15,623846,647333,2345235,454533,964533,278,53
16,7823556,7834587,46346534,547645,5768910,234,40
17,8723589,324545,453524,436757,75474236,185,43
18,4354546,346545,2353255,56467,3456647,307,27
19,3426346,3562456,894522,4256345,4646755,108,46
20,8002442,43543457,435345,3453543,4536456,309,57
